"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3"
"AgeAt1yrVisit",-0.0101015863908142,-0.00337971988758991,-0.00388447319175574,-0.00413061479979397,-0.00377036781054595,-0.0022006037804743
"MAGE",-0.0329512893982808,-0.0109598853868195,-0.00143266475644702,-0.00429799426934098,-0.0143266475644699,-0.0143266475644699
"PAGE",-0.0253086272924051,-0.00847149211484029,0.00104659736923476,-0.00411503056540046,-0.0179824457077615,-0.00321115101924317
"MEDUY",0.0361415118350726,0.0120514125731739,0.0860269788750318,0.0430134894375159,-0.0335963349452787,0.0267243573428353
"PEDUY",-0.284424379232506,-0.0946952595936794,-0.103837471783296,-0.0699774266365688,-0.0902934537246049,-0.124153498871332
"Income.code",NA,NA,NA,NA,NA,NA
"OLDERSIBLINGS",-0.0357142857142859,-0.0116071428571429,-0.232142857142857,0.0178571428571429,0.0803571428571428,-0.133928571428572
"SEX",-0.0999999999999998,-0.0325,-0.05,0.0500000000000001,-0.3,0.15
"GESTAGEBIRTH",-0.0140988455849869,-0.00469737423407157,-0.00549355563665702,-0.0131192255239046,0.00276598605482032,-0.0037456061159026
"BW",0.00128426616101281,0.000428101269323419,0.000570355834346974,0.000231896399754138,0.000643258060175942,0.000409111701082732
"MaternalInfection",-0.851674641148326,-0.283971291866029,-0.583732057416268,-0.148325358851675,-0.344497607655502,-0.358851674641149
"MPSYCH",-0.534090909090909,-0.177840909090909,-0.318181818181818,-0.5,0.136363636363636,-0.170454545454545
"VITAMINDNEO",-0.421052631578947,-0.140430622009569,0.133971291866029,-0.148325358851675,-0.344497607655502,0.0717703349282297
"PrePregBMI",NA,NA,NA,NA,NA,NA
"ANTIBIOTIC_1yr",NA,NA,NA,NA,NA,NA
"FORMULA_1yr",NA,NA,NA,NA,NA,NA
"FORMULA_6mo",-0.366071428571428,-0.120982142857143,-0.303571428571428,-0.285714285714286,-0.214285714285714,0.133928571428572
"FEVER_1yr",NA,NA,NA,NA,NA,NA
"DAYCARE",NA,NA,NA,NA,NA,NA
"CURBRFEED_1yr",NA,NA,NA,NA,NA,NA
"Milks_1yr",NA,NA,NA,NA,NA,NA
"FrenchFries_1yr",NA,NA,NA,NA,NA,NA
"SweetFoodsDrinks_1yr",NA,NA,NA,NA,NA,NA
"PeanutButter_1yr",NA,NA,NA,NA,NA,NA
"WHSTOTHER",NA,NA,NA,NA,NA,NA
"VITAMIND_6mo",NA,NA,NA,NA,NA,NA
"Cereals_6mo",NA,NA,NA,NA,NA,NA
"STATE",NA,NA,NA,NA,NA,NA
"TRAIT",NA,NA,NA,NA,NA,NA
"NegativeLifeEvents",NA,NA,NA,NA,NA,NA
"PositiveLifeEvents",NA,NA,NA,NA,NA,NA
"TotalLifeEvents",NA,NA,NA,NA,NA,NA
"Stranger",-0.266666666666667,-0.0886666666666666,-1.62158451853016e-16,-0.333333333333333,-0.133333333333333,0.2
