"","diff.WM","diff.GM","diff.CSF","diff.ICV","diff.Hippocampus_LR","diff.Amygdala_LR","diff.mPFC"
"chao1",0.04346194392516,0.982096851837014,0.565815871836765,0.223521527185127,0.845987534883684,0.546823052101447,0.434511659933574
"observed_otus",0.119120704669573,0.952894247126544,0.905819145114422,0.549937856968193,0.597143204895736,0.543530952846046,0.699075630275772
"PD_whole_tree",0.782209315291634,0.972763210560915,0.987996353376188,0.877063319823995,0.720940053297026,0.705170490256262,0.333827163237575
"shannon",0.126328213068546,0.910685946172131,0.817213330224963,0.58062875258477,0.905164125064621,0.652520532132137,0.127417926951717
"wunifrac.PC.1",0.453912535345206,0.206014312351153,0.0973600526733827,0.68335552173689,0.759150323037748,0.073245712180557,0.42335789333817
"wunifrac.PC.2",0.951053763504652,0.668289188874005,0.850376025751819,0.631508383414895,0.827867099123817,0.225411877725963,0.65820699690036
"wunifrac.PC.3",0.34957056008991,0.461450888882522,0.0989251262035243,0.387425683558974,0.153442242741807,0.718316243949136,0.404130177049244
"wunifrac.PC.4",0.683607768309925,0.427996357596,0.555421493685672,0.700191254354238,0.557961924420211,0.135636412935352,0.83467947843316
"unifrac.PC.1",0.421705534135541,0.748477124168957,0.622825408455461,0.793946180736061,0.436746243450128,0.417718171863307,0.207613255802409
"unifrac.PC.2",0.304374373006204,0.607493296662166,0.0746467565348459,0.0309543535959165,0.10619727236564,0.561274035813731,0.0344153619172241
"unifrac.PC.3",0.109959341289523,0.40377379195957,0.113236784591875,0.309441561954915,0.560442928413709,0.379746596900325,0.893673938155468
"unifrac.PC.4",0.913389897421609,0.577729810049174,0.966940936354301,0.657526295628728,0.529217237247215,0.473241692218728,0.569237322629524
