"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"AgeAt1yrVisit",0.935607423716335,0.719899863262837,0.886425654381639,0.346177023442566,0.790659658203615,0.609492244497706,0.605659231898104,0.631783258399686,0.767302901596559,0.702984270253849,0.882792116165879,0.405222781669754,0.284272983676049,0.650259474861424,0.762504378955256,0.771308141283379,0.90056321372875,0.341558150228136,0.496363986885465
"MAGE",0.935607423716335,0.486607037038928,0.474124552444798,0.346177023442566,0.967495264015966,0.873842928734886,0.743917380496881,0.744219690678626,0.793572743180028,0.874477010827742,0.90013246614336,0.859465958742278,0.786610218352666,0.780386462273891,0.821229687894087,0.87472566073201,0.90056321372875,0.903012807022275,0.883855932394847
"PAGE",0.935607423716335,0.979163413591073,0.951022991624676,0.934405233901268,0.790659658203615,0.954280975026529,0.743917380496881,0.744219690678626,0.793572743180028,0.702984270253849,0.882792116165879,0.859465958742278,0.817317650115103,0.780386462273891,0.821229687894087,0.771308141283379,0.90056321372875,0.903012807022275,0.892709575316069
"MEDUY",0.935607423716335,0.285058998462717,0.25778897645674,0.346177023442566,0.790659658203615,0.858542509774593,0.454318946021686,0.631783258399686,0.767302901596559,0.702984270253849,0.90013246614336,0.859465958742278,0.763365206502457,0.650259474861424,0.777179190574114,0.771308141283379,0.90056321372875,0.903012807022275,0.883855932394847
"PEDUY",0.935607423716335,0.601928987187497,0.643162813241135,0.730385792231686,0.966055650323391,0.858542509774593,0.743917380496881,0.929892428776116,0.843423271166149,0.874477010827742,0.939861146515063,0.859465958742278,0.926860975950793,0.920600729121031,0.868476287865511,0.87472566073201,0.937697501429257,0.903012807022275,0.951176162432414
"Income.code",0.935607423716335,0.293993354535541,0.341691968418615,0.346177023442566,0.967495264015966,0.873842928734886,0.936560704917514,0.744219690678626,0.793572743180028,0.702984270253849,0.90013246614336,0.859465958742278,0.968890854516127,0.780386462273891,0.824332167836925,0.77888649003695,0.90056321372875,0.903012807022275,0.998436566277421
"OLDERSIBLINGS",0.935607423716335,0.996053812588779,0.951022991624676,0.964233302031918,0.966055650323391,0.873842928734886,0.743917380496881,0.994992065506418,0.995344547115185,0.874477010827742,0.90013246614336,0.859465958742278,0.786610218352666,0.971213856269979,0.985845363784222,0.87472566073201,0.90056321372875,0.903012807022275,0.883855932394847
"SEX",0.935607423716335,0.846472635992497,0.951022991624676,0.834423626783306,0.966055650323391,0.915009889195273,1,0.744219690678626,0.843423271166149,0.874477010827742,0.90013246614336,0.859465958742278,0.786610218352666,0.780386462273891,0.846448423813,0.87472566073201,0.90056321372875,0.951372643106499,0.883855932394847
"GESTAGEBIRTH",0.317758215024817,0.846472635992497,0.951022991624676,0.730385792231686,0.790659658203615,0.873842928734886,0.806491753191478,0.631783258399686,0.767302901596559,0.702984270253849,0.882792116165879,0.405222781669754,0.817317650115103,0.650259474861424,0.777179190574114,0.771308141283379,0.90056321372875,0.341558150228136,0.892709575316069
"BW",0.935607423716335,0.865795912834189,0.951022991624676,0.902786345558944,0.790659658203615,0.873842928734886,0.897888878674778,0.929892428776116,0.793572743180028,0.702984270253849,0.882792116165879,0.859465958742278,0.968890854516127,0.920600729121031,0.821229687894087,0.771308141283379,0.90056321372875,0.773169078902524,0.951176162432414
"MaternalInfection",0.935607423716335,1,0.951022991624676,0.967833524601054,0.925070873903683,0.858542509774593,0.806491753191478,0.978549569900225,0.989407207517791,0.961856640377529,0.939861146515063,0.859465958742278,0.968890854516127,0.971213856269979,0.985845363784222,0.926018595767497,0.937697501429257,0.903012807022275,0.951176162432414
"MPSYCH",0.935607423716335,0.996053812588779,0.951022991624676,0.732717148381774,0.966055650323391,0.858542509774593,1,0.978549569900225,0.843423271166149,0.874477010827742,0.90013246614336,0.859465958742278,0.786610218352666,0.955062288511445,0.846448423813,0.87472566073201,0.90056321372875,0.903012807022275,0.884473833517101
"VITAMINDNEO",0.935607423716335,0.865795912834189,0.951022991624676,0.346177023442566,0.790659658203615,0.915009889195273,0.806491753191478,0.631783258399686,0.793572743180028,0.702984270253849,0.882792116165879,0.859465958742278,0.854386736305971,0.650259474861424,0.821229687894087,0.771308141283379,0.90056321372875,0.903012807022275,0.884473833517101
"PrePregBMI",0.935607423716335,0.979163413591073,0.951022991624676,0.730385792231686,0.790659658203615,0.873842928734886,0.743917380496881,0.929892428776116,0.843423271166149,0.8908743239576,0.90013246614336,0.859465958742278,0.786610218352666,0.920600729121031,0.846448423813,0.87472566073201,0.90056321372875,0.903012807022275,0.883855932394847
"ANTIBIOTIC_1yr",0.935607423716335,0.285058998462717,0.25778897645674,0.346177023442566,0.8788150701017,0.873842928734886,0.743917380496881,0.631783258399686,0.767302901596559,0.702984270253849,0.90013246614336,0.859465958742278,0.786610218352666,0.650259474861424,0.762504378955256,0.771308141283379,0.90056321372875,0.903012807022275,0.883855932394847
"FORMULA_1yr",0.935607423716335,0.285058998462717,0.25778897645674,0.346177023442566,0.840172888827454,0.873842928734886,0.743917380496881,0.631783258399686,0.767302901596559,0.702984270253849,0.90013246614336,0.859465958742278,0.786610218352666,0.650259474861424,0.762504378955256,0.771308141283379,0.90056321372875,0.903012807022275,0.883855932394847
"FORMULA_6mo",0.935607423716335,0.285058998462717,0.344699601443131,0.346177023442566,0.966055650323391,0.858542509774593,0.743917380496881,0.744219690678626,0.767302901596559,0.829797111935721,0.939861146515063,0.913030224394489,0.786610218352666,0.780386462273891,0.777179190574114,0.855844556181867,0.937697501429257,0.903012807022275,0.883855932394847
"FEVER_1yr",0.935607423716335,0.285058998462717,0.25778897645674,0.346177023442566,0.790728146004992,0.873842928734886,0.743917380496881,0.631783258399686,0.767302901596559,0.702984270253849,0.90013246614336,0.859465958742278,0.786610218352666,0.650259474861424,0.762504378955256,0.771308141283379,0.90056321372875,0.903012807022275,0.883855932394847
"DAYCARE",0.935607423716335,0.846472635992497,0.906705658758505,0.902786345558944,0.925070873903683,0.858542509774593,0.911425656403699,0.929892428776116,0.843423271166149,0.8908743239576,0.90013246614336,0.859465958742278,0.994098894114187,0.920600729121031,0.87267021664028,0.87472566073201,0.90056321372875,0.903012807022275,0.998436566277421
"CURBRFEED_1yr",0.935607423716335,0.285058998462717,0.25778897645674,0.346177023442566,0.790659658203615,0.873842928734886,0.743917380496881,0.631783258399686,0.767302901596559,0.702984270253849,0.90013246614336,0.859465958742278,0.817317650115103,0.650259474861424,0.762504378955256,0.771308141283379,0.90056321372875,0.903012807022275,0.884473833517101
"FrenchFries_1yr",0.935607423716335,0.191127107661709,0.241699614339512,0.346177023442566,0.790659658203615,0.216438086102984,0.743917380496881,0.631783258399686,0.465558094430436,0.702984270253849,0.882792116165879,0.405222781669754,0.786610218352666,0.650259474861424,0.577443225210511,0.771308141283379,0.90056321372875,0.378071842878352,0.883855932394847
"SweetFoodsDrinks_1yr",0.935607423716335,0.285058998462717,0.25778897645674,0.346177023442566,0.925070873903683,0.873842928734886,0.743917380496881,0.631783258399686,0.767302901596559,0.702984270253849,0.90013246614336,0.859465958742278,0.786610218352666,0.650259474861424,0.762504378955256,0.771308141283379,0.90056321372875,0.903012807022275,0.883855932394847
"PeanutButter_1yr",0.935607423716335,0.285058998462717,0.25778897645674,0.346177023442566,0.790659658203615,0.873842928734886,0.743917380496881,0.631783258399686,0.767302901596559,0.702984270253849,0.90013246614336,0.859465958742278,0.786610218352666,0.650259474861424,0.762504378955256,0.771308141283379,0.90056321372875,0.903012807022275,0.883855932394847
"WHSTOTHER",0.996113617454502,0.419818696704948,0.582245742437498,0.730385792231686,0.790659658203615,0.873842928734886,0.454318946021686,0.744219690678626,0.793572743180028,0.874477010827742,0.90013246614336,0.913030224394489,0.750182714082668,0.780386462273891,0.821229687894087,0.87472566073201,0.90056321372875,0.956194981118766,0.850639932862829
"VITAMIND_6mo",0.935607423716335,0.719899863262837,0.622143100576718,0.346177023442566,0.790659658203615,0.933573033465919,0.743917380496881,0.631783258399686,0.793572743180028,0.702984270253849,0.90013246614336,0.859465958742278,0.829603430970555,0.650259474861424,0.821229687894087,0.771308141283379,0.90056321372875,0.90381013909001,0.883855932394847
"Cereals_6mo",0.935607423716335,0.979163413591073,0.906705658758505,0.886235108510957,0.966055650323391,0.915009889195273,0.936560704917514,0.978549569900225,0.995344547115185,0.961856640377529,0.90013246614336,0.859465958742278,0.968890854516127,0.955062288511445,0.985845363784222,0.926018595767497,0.90056321372875,0.903012807022275,0.951176162432414
"STATE",0.935607423716335,1,0.951022991624676,0.98271554159537,0.966055650323391,0.873842928734886,0.973681211160404,0.988509377143721,0.931078877513883,0.961856640377529,0.90013246614336,0.859465958742278,0.968890854516127,0.971213856269979,0.966434055275707,0.926018595767497,0.90056321372875,0.903012807022275,0.998436566277421
"TRAIT",0.317758215024817,0.979163413591073,0.951022991624676,0.886235108510957,0.790728146004992,0.858542509774593,0.980765279588192,0.744219690678626,0.843423271166149,0.702984270253849,0.882792116165879,0.231180801531944,0.829603430970555,0.804054900866665,0.852926228806741,0.77888649003695,0.90056321372875,0.184447111976623,0.916695988802473
