"","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear"
"chao1",0.223697222507691,0.531507011032543,0.926112617892896,0.942591778816562,0.968141790504505,0.430164647847901
"observed_otus",0.223697222507691,0.531507011032543,0.926112617892896,0.942591778816562,0.968141790504505,0.430164647847901
"PD_whole_tree",0.484203702392885,0.531507011032543,0.926112617892896,0.942591778816562,0.968141790504505,0.430164647847901
"shannon",0.223697222507691,0.581138445562029,0.926112617892896,0.942591778816562,0.968141790504505,0.430164647847901
