"","strange_response"
"chao1",0.512530862846456
"observed_otus",0.421679462645998
"PD_whole_tree",0.28669843554098
"shannon",0.493539631002699
"wunifrac.PC.1",0.770670836799729
"wunifrac.PC.2",0.59315285673343
"wunifrac.PC.3",0.212184340090033
"wunifrac.PC.4",0.140280674153048
