"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"chao1",0.944779684591597,0.986902042785205,0.924937746133043,0.4180621207504,0.355773267507501,0.487016636862515
"observed_otus",0.944779684591597,0.986902042785205,0.924937746133043,0.4180621207504,0.355773267507501,0.487016636862515
"PD_whole_tree",0.944779684591597,0.986902042785205,0.924937746133043,0.4180621207504,0.414818822415327,0.509042157142175
"shannon",0.944779684591597,0.986902042785205,0.924937746133043,0.4180621207504,0.355773267507501,0.509042157142175
