"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"MAGE",0.816062315021607,0.863593854757623,0.965112653762622,0.979803700803257,0.915111378866381,0.905246832008838,1,0.986756484745067,0.994522878722181,0.976738927747887,0.883934196657867,0.81285400017786,0.972941873888042,0.991270517177829,0.983590233651522,0.929173728530015,0.945941435943287,0.81285400017786,1
"PAGE",0.764709439930742,0.863593854757623,0.965112653762622,0.979803700803257,0.638712824007912,0.905246832008838,1,0.71798288448925,0.911165442483235,0.827729269389684,0.614795082258134,0.81285400017786,0.761134434586302,0.844330074157744,0.983590233651522,0.866178614279553,0.709696723460873,0.81285400017786,0.784875960701499
"MEDUY",0.895749185573627,0.863593854757623,0.965112653762622,0.736434816493416,0.796567420820462,0.825450899229068,1,0.71798288448925,0.876363767505466,0.827729269389684,0.874979080116655,0.916267120051494,0.761134434586302,0.74110859554903,0.876458737290718,0.866178614279553,0.842323563851987,0.916267120051494,0.826152051656127
"PEDUY",0.772131631753285,0.863593854757623,0.965112653762622,0.985302752763145,0.915111378866381,0.825450899229068,1,0.986756484745067,0.994522878722181,0.976738927747887,0.985680417630112,0.81285400017786,0.982234550758381,0.991270517177829,0.983590233651522,0.929173728530015,0.982522944735859,0.81285400017786,1
"Income.code",0.807121819984673,0.863593854757623,0.965112653762622,0.924814297808404,0.915111378866381,0.838173622259991,1,0.71798288448925,0.876363767505466,0.846328019515292,0.874979080116655,0.81285400017786,0.983182723511733,0.907405505600277,0.936296465661526,0.929173728530015,0.891018831051119,0.81285400017786,1
"OLDERSIBLINGS",0.884701426830041,0.863593854757623,0.965112653762622,0.985302752763145,0.915111378866381,0.825450899229068,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.81285400017786,0.761134434586302,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.81285400017786,0.784875960701499
"SEX",0.764709439930742,0.863593854757623,0.965112653762622,0.979803700803257,0.918819629223833,0.905246832008838,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.81285400017786,0.972941873888042,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.81285400017786,1
"GESTAGEBIRTH",0.722736630117631,0.863593854757623,0.965112653762622,0.979803700803257,0.638712824007912,0.825450899229068,1,0.647792112675932,0.876363767505466,0.827729269389684,0.614795082258134,0.566156814318052,0.972941873888042,0.678256185108007,0.936296465661526,0.866178614279553,0.634007752708893,0.566156814318052,1
"BW",0.764709439930742,0.863593854757623,0.965112653762622,0.985302752763145,0.638712824007912,0.825450899229068,1,0.986756484745067,0.876363767505466,0.949794372936762,0.614795082258134,0.81285400017786,0.972941873888042,0.991270517177829,0.936296465661526,0.929173728530015,0.634007752708893,0.81285400017786,1
"MaternalInfection",0.807121819984673,0.863593854757623,0.965112653762622,0.979803700803257,0.915111378866381,0.825450899229068,1,0.986756484745067,0.994522878722181,0.976738927747887,0.985680417630112,0.866594089246379,0.761134434586302,0.991270517177829,0.983590233651522,0.929173728530015,0.982522944735859,0.866594089246379,0.784875960701499
"MPSYCH",0.764709439930742,0.863593854757623,0.965112653762622,0.985302752763145,1,0.825450899229068,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.81285400017786,0.893381651247244,0.991270517177829,0.983590233651522,0.929173728530015,0.883223920020581,0.81285400017786,1
"VITAMINDNEO",0.764709439930742,0.863593854757623,0.965112653762622,0.736434816493416,0.613530985286743,0.905246832008838,1,0.647792112675932,0.876363767505466,0.827729269389684,0.614795082258134,0.81285400017786,0.761134434586302,0.678256185108007,0.936296465661526,0.866178614279553,0.634007752708893,0.81285400017786,0.784875960701499
"PrePregBMI",0.895749185573627,0.863593854757623,0.965112653762622,0.979803700803257,0.796567420820462,0.825450899229068,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.81285400017786,0.820354402598096,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.81285400017786,0.851298987004525
"ANTIBIOTIC_1yr",0.764709439930742,0.863593854757623,0.965112653762622,0.979803700803257,0.671241132749255,0.924880417844593,1,0.945748366223814,0.876363767505466,0.846328019515292,0.614795082258134,0.81285400017786,0.972941873888042,0.991270517177829,0.936296465661526,0.929173728530015,0.709696723460873,0.81285400017786,1
"FEVER_1yr",0.859064828459648,0.886982023678718,0.965112653762622,0.979803700803257,0.666332974111039,0.924880417844593,1,0.986756484745067,0.994522878722181,0.994930469460873,0.874979080116655,0.859412310032755,0.761134434586302,0.991270517177829,0.983590233651522,0.929173728530015,0.848657226597296,0.859412310032756,0.784875960701499
"DAYCARE",0.764709439930742,0.863593854757623,0.965112653762622,0.979803700803257,0.796567420820462,0.905246832008838,1,0.945748366223814,0.994522878722181,0.846328019515292,0.874979080116655,0.81285400017786,0.972941873888042,0.926465870838244,0.983590233651522,0.916397386813949,0.842323563851987,0.81285400017786,1
"CURBRFEED_1yr",0.722736630117631,0.900240492923741,1,0.979803700803257,0.638712824007912,1,1,0.945748366223814,0.994522878722181,0.846328019515292,0.614795082258134,0.81285400017786,0.833371692776333,0.908529863580936,0.983590233651522,0.866178614279553,0.634007752708893,0.81285400017786,0.829904163410905
"FORMULA_1yr",0.783096151128234,0.863593854757623,0.965112653762622,1,0.796567420820462,0.838173622259991,1,0.986756484745067,0.994522878722181,0.994930469460873,0.874979080116655,0.916267120051494,0.761134434586302,0.991270517177829,0.983590233651522,0.956030612763069,0.842323563851987,0.916267120051494,0.784875960701499
"Milks_1yr",0.764709439930742,0.863593854757623,0.965112653762622,1,0.915111378866381,0.825450899229068,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.81285400017786,0.761134434586302,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.81285400017786,0.851298987004525
"FrenchFries_1yr",0.764709439930742,0.863593854757623,0.965112653762622,0.736434816493416,0.638712824007912,0.429006537454596,1,0.647792112675932,0.876363767505466,0.827729269389684,0.614795082258134,0.566156814318052,0.982234550758381,0.678256185108007,0.876458737290718,0.866178614279553,0.634007752708893,0.566156814318052,1
"SweetFoodsDrinks_1yr",0.764709439930742,0.863593854757623,0.965112653762622,1,0.796567420820462,0.924880417844593,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.889549497010541,0.972941873888042,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.889549497010541,1
"PeanutButter_1yr",0.764709439930742,0.863593854757623,0.965112653762622,1,0.796567420820462,0.905246832008838,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.979748777581145,0.972941873888042,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.979748777581144,0.978145457931464
"FORMULA_6mo",0.764709439930742,0.863593854757623,0.965112653762622,0.979803700803257,0.998120931876978,0.825450899229068,1,0.986756484745067,0.876363767505466,0.976738927747887,0.985680417630112,0.916267120051494,0.972941873888042,0.991270517177829,0.936296465661526,0.929173728530015,0.982522944735859,0.916267120051494,1
"WHSTOTHER",0.889349158397787,0.863593854757623,0.965112653762622,0.979803700803257,0.796567420820462,0.825450899229068,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.81285400017786,0.761134434586302,0.991270517177829,0.983590233651522,0.929173728530015,0.883223920020581,0.81285400017786,0.784875960701499
"VITAMIND_6mo",0.722736630117631,0.863593854757623,0.965112653762622,0.736434816493416,0.638712824007912,0.952105460342817,1,0.647792112675932,0.876363767505466,0.827729269389684,0.614795082258134,0.81285400017786,0.761134434586302,0.678256185108007,0.876458737290718,0.848421698249972,0.634007752708893,0.81285400017786,0.784875960701499
"Cereals_6mo",0.764709439930742,0.863593854757623,0.965112653762622,0.979803700803257,0.796567420820462,0.905246832008838,1,0.986756484745067,0.994522878722181,0.976738927747887,0.874979080116655,0.81285400017786,0.802399072231212,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.81285400017786,0.784875960701499
"NegativeLifeEvents",0.807121819984673,0.863593854757623,0.965112653762622,0.979803700803257,0.638712824007912,0.905246832008838,1,0.986756484745067,0.994522878722181,0.994930469460873,0.874979080116655,0.848181261363446,0.761134434586302,0.991270517177829,0.983590233651522,0.974287352115409,0.842323563851987,0.848181261363446,0.784875960701499
"PositiveLifeEvents",0.722736630117631,0.863593854757623,0.965112653762622,0.736434816493416,0.796567420820462,0.825450899229068,1,0.647792112675932,0.876363767505466,0.564612316720367,0.614795082258134,0.603425706365577,0.972941873888042,0.678256185108007,0.876458737290718,0.670189042725801,0.709696723460873,0.603425706365577,1
"TotalLifeEvents",0.394263302535674,0.863593854757623,0.965112653762622,0.736434816493416,0.613530985286743,0.429006537454596,1,0.647792112675932,0.876363767505466,0.564612316720367,0.614795082258134,0.394263302535674,0.761134434586302,0.678256185108007,0.876458737290718,0.647011892209251,0.634007752708893,0.394263302535673,0.784875960701499
"StateAnxiety",0.764709439930742,0.863593854757623,0.965112653762622,0.979803700803257,0.915111378866381,0.924880417844593,1,0.986756484745067,0.994522878722181,0.983227518620696,0.874979080116655,0.916267120051494,0.972941873888042,0.991270517177829,0.983590233651522,0.929173728530015,0.842323563851987,0.916267120051494,1
