"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3","IBQr_fear"
"chao1",0.00353436890474888,0.00118012484754502,0.00346259837524075,-0.000848859434763771,0.00135526208747528,0.00302796625203737,-0.0022679395036329
"observed_otus",0.00778621718998131,0.0025987635201059,0.00689477328915909,-0.000768388832832882,0.0029471363240938,0.00560746969872039,-0.00396642104621862
"PD_whole_tree",0.238571609468475,0.0795526139713586,0.182954481848173,0.00497192076778214,0.118728293484666,0.114871395216027,-0.0162664203566159
"shannon",0.410991259741168,0.137487629604245,0.352950097171135,-0.0734943386460837,0.118846639475985,0.365638958911266,0.0798179450754563
"wunifrac.PC.1",-0.34848499079498,-0.115168214087824,-0.401158611985008,0.211356936418117,0.052253271860049,-0.612095199073147,0.320337314817581
"wunifrac.PC.2",-1.48645340599171,-0.494934342959603,-0.524253633562253,-0.821434307588324,-0.576024613166737,-0.0889944852366508,-1.08758999725468
"wunifrac.PC.3",-4.99214485545869,-1.66587763019541,-2.04873960498996,-0.403475781868225,-2.15609127785323,-2.43257779573723,-1.7562745700168
"wunifrac.PC.4",-6.83720842859311,-2.27543516469348,-3.22759572445768,-1.77585876599542,-3.18124028367016,-1.88010937892753,4.15052991954411
