"","IBQr_fear"
"AgeAt1yrVisit",0.00602094163073276
"MAGE",-0.112342214356226
"PAGE",0.0107642261934516
"MEDUY",-0.190038771260997
"PEDUY",-0.127981803673938
"Income.code",NA
"OLDERSIBLINGS",-0.34921575
"SEX",0.396789428571429
"GESTAGEBIRTH",-0.0383869637243047
"BW",-0.00142251282753536
"MaternalInfection",0.624313191919192
"MPSYCH",-0.1781850625
"VITAMINDNEO",-0.189216958333333
"PrePregBMI",NA
"ANTIBIOTIC_1yr",-0.310416666666667
"FEVER_1yr",0.274056064102564
"DAYCARE",0.165085920634921
"CURBRFEED_1yr",0.010903045454545
"FORMULA_1yr",-0.197294852272727
"Milks_1yr",-0.100186471428572
"FrenchFries_1yr",0.2649269
"SweetFoodsDrinks_1yr",-0.536216358974359
"PeanutButter_1yr",-0.121606892857143
"FORMULA_6mo",0.525661831168831
"WHSTOTHER",NA
"VITAMIND_6mo",0.306139153846154
"Cereals_6mo",0.0305059999999994
"NegativeLifeEvents",0.0209244514563107
"PositiveLifeEvents",-0.0516013734226786
"TotalLifeEvents",-0.0473989937330465
"StateAnxiety",0.031563550451331
"TraitAnxiety",0.0370623157651902
