"","strange_response"
"chao1",0.582837572917134
"observed_otus",0.585467341478718
"PD_whole_tree",0.267359427332571
"shannon",0.955836018339374
"wunifrac.PC.1",0.267359427332571
"wunifrac.PC.2",0.955836018339374
"wunifrac.PC.3",0.955836018339374
"wunifrac.PC.4",0.267359427332571
