"","MasksPresented","MaskMaxIntensity_Latency","MaskMaxIntensity_FacialFear","MaskMaxIntensity_VocalDistress","MaskMaxIntensity_BodilyFear","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior","MaskSummedScore_Latency","MaskSummedScore_FacialFear","MaskSummedScore_VocalDistress","MaskSummedScore_BodilyFear","MaskSummedScore_StartleResponse","MaskSummedScore_EscapeBehavior"
"MAGE",0.828802025432139,0.794106742898554,0.886022632359683,0.917116980044513,0.785208060843093,0.921392380976919,0.960825792084871,0.976340839028225,0.966635079202586,0.934897183261651,0.966455922033344,0.844420407232723,0.954458816252285,0.976340839028225,0.966635079202586,0.934897183261651,0.966455922033344,0.844420407232724,0.954458816252285
"PAGE",0.828802025432139,0.829094967735893,0.886284039531128,0.917116980044513,0.397865452167529,0.887201840510577,0.960825792084871,0.612694194309414,0.799831234145408,0.772745120451488,0.685689531532041,0.844420407232723,0.107211756389909,0.612694194309414,0.799831234145408,0.772745120451489,0.685689531532041,0.844420407232724,0.107211756389909
"MEDUY",0.917127455980679,0.794106742898554,0.886022632359683,0.703230557706236,0.830506403856687,0.887201840510577,0.960825792084871,0.689602276308311,0.652766234951954,0.802397669149967,0.966455922033344,0.873524320321164,0.878024787405936,0.68960227630831,0.652766234951954,0.802397669149967,0.966455922033344,0.873524320321164,0.878024787405936
"PEDUY",0.828802025432139,0.794106742898554,0.886022632359683,0.92091630271394,0.955154111841195,0.887201840510577,0.960825792084871,0.976340839028225,0.966635079202586,0.934897183261651,0.97620166154405,0.844420407232723,0.961611773973941,0.976340839028225,0.966635079202586,0.934897183261651,0.976201661544049,0.844420407232724,0.961611773973941
"Income.code",0.828802025432139,0.563537788721792,0.886022632359683,0.693607223024942,0.955154111841195,0.887201840510577,0.960825792084871,0.54412255014113,0.652766234951954,0.772745120451488,0.966455922033344,0.844420407232723,0.954458816252285,0.54412255014113,0.652766234951954,0.772745120451489,0.966455922033344,0.844420407232724,0.954458816252285
"OLDERSIBLINGS",0.828802025432139,0.794106742898554,0.886022632359683,0.917116980044513,0.72126913630433,0.887201840510577,0.960825792084871,0.976340839028225,0.966635079202586,0.934897183261651,0.817718624940762,0.844420407232723,0.954458816252285,0.976340839028225,0.966635079202586,0.934897183261651,0.817718624940761,0.844420407232724,0.954458816252285
"SEX",0.828802025432139,0.794106742898554,0.886022632359683,0.917116980044513,0.955154111841195,0.887201840510577,0.960825792084871,0.976340839028225,0.966635079202586,0.934897183261651,0.966455922033344,0.844420407232723,0.820442567335055,0.976340839028225,0.966635079202586,0.934897183261651,0.966455922033344,0.844420407232724,0.820442567335055
"GESTAGEBIRTH",0.556007176506076,0.794106742898554,0.886022632359683,0.917116980044513,0.397865452167529,0.887201840510577,0.960825792084871,0.54412255014113,0.652766234951954,0.658940152276897,0.442068823879463,0.743153710976708,0.820442567335055,0.54412255014113,0.652766234951954,0.658940152276897,0.442068823879463,0.743153710976708,0.820442567335055
"BW",0.828802025432139,0.794106742898554,0.886022632359683,0.917116980044513,0.397865452167529,0.887201840510577,0.960825792084871,0.976340839028225,0.794906321233276,0.934897183261651,0.680950277402986,0.844420407232723,0.964261250445112,0.976340839028225,0.794906321233276,0.934897183261651,0.680950277402986,0.844420407232724,0.964261250445112
"MaternalInfection",0.917127455980679,0.915120289776989,0.886022632359683,0.92091630271394,0.785208060843093,0.887201840510577,0.960825792084871,0.976340839028225,0.966635079202586,0.934897183261651,0.966455922033344,0.873524320321164,0.954458816252285,0.976340839028225,0.966635079202586,0.934897183261651,0.966455922033344,0.873524320321164,0.954458816252285
