"","WM","CSF","GM","ICV","Hippocampus_LR","Amygdala_LR","mPFC"
"chao1",0.122159487319518,0.456643835761562,0.646990214167813,0.244596256538293,0.986781649377787,0.594070558494433,0.768090878256528
"observed_otus",0.122159487319518,0.456643835761562,0.646990214167813,0.244596256538293,0.986781649377787,0.594070558494433,0.768090878256528
"PD_whole_tree",0.260996310932967,0.599883281555076,0.646990214167813,0.244596256538293,0.986781649377787,0.594070558494433,0.768090878256528
"shannon",0.122159487319518,0.483505679425982,0.646990214167813,0.244596256538293,0.986781649377787,0.594070558494433,0.768090878256528
