"","WM","CSF","GM","ICV","Hippocampus_LR","Amygdala_LR","mPFC"
"chao1",0.0916196154896386,0.228321917880781,0.584276452674949,0.22154509550741,0.986781649377787,0.594070558494433,0.635335181437401
"observed_otus",0.0895424755685832,0.206887146236239,0.646990214167813,0.238582622118059,0.86526530498829,0.514339777296367,0.768090878256528
"PD_whole_tree",0.260996310932967,0.599883281555076,0.313419442235762,0.244596256538293,0.531149934698657,0.309227942912913,0.535335607427477
"shannon",0.0802296617142121,0.362629259569487,0.414418908075677,0.170789982126937,0.811564894076689,0.44071290080421,0.65789373398602
