"","Summed","Average","Max","Episode3.1","Episode3.2","Episode3.3"
"AgeAt1yrVisit",0.307054859269431,0.305186124317761,0.451172390859437,0.411067947827953,0.168652351994346,0.626729380931744
"MAGE",0.692504066252174,0.691070811407285,0.844664827276334,0.622865300845611,0.890575691356402,0.705219893472562
"PAGE",0.602951481301379,0.600042993114598,0.891054245899408,0.599013886932447,0.452091355041621,0.910286138244255
"MEDUY",0.907476572131897,0.907482727342279,0.337181642735507,0.978083990696155,0.743444532840917,0.597744712835456
"PEDUY",0.0506364533988531,0.0508795628876051,0.150701665134167,0.107934631836355,0.152408902727905,0.0622539830519149
"Income.code",0.908846324099339,0.909531091014111,0.824005854376941,0.938180753083117,0.707284549419643,0.918228787468459
"OLDERSIBLINGS",0.659139951112572,0.660286614246082,0.965201855796831,0.538500825692653,0.403639563518455,0.831302059804237
"SEX",0.991836864596959,0.994856400376853,0.965201855796831,0.977809194739995,0.403639563518455,0.474861101565693
"GESTAGEBIRTH",0.876755173853574,0.876093075919778,0.949578848287075,0.730035948990614,0.895900322326675,0.858922703972895
"BW",0.234973374795968,0.235600032704916,0.205761140293186,0.276330873295884,0.164331879498583,0.532540179703368
"MaternalInfection",0.243730676244713,0.243528253641353,0.0700561206526649,0.408541900130311,0.283775564739898,0.288877304763664
"MPSYCH",0.136147017183133,0.135715487693672,0.130236820263543,0.194402292449553,0.446930916392223,0.0928230922489474
"VITAMINDNEO",0.659139951112572,0.660286614246082,0.677838025872507,0.222349267922735,0.403639563518455,0.474861101565693
"PrePregBMI",0.238555653683043,0.239452624361869,0.54215600921525,0.69490270638155,0.0396613713965475,0.548683250627043
"ANTIBIOTIC_1yr",0.473628078229443,0.474266456634822,0.575143165094173,0.418692364166485,0.15767395558813,0.84488672191458
"FEVER_1yr",0.0433150778059097,0.0433530540967977,0.0184492153646458,0.123034354124181,0.123034354124181,0.0429910132973957
"DAYCARE",0.619273524822048,0.618327967567996,0.205929050117593,0.769262700231977,0.769262700231977,0.235504229143855
"CURBRFEED_1yr",1,0.997508088055851,0.502528165671825,1,1,1
"FORMULA_1yr",0.351307433849344,0.3495851288705,0.575143165094173,0.818809723298176,0.418692364166484,0.192903225625933
"Milks_1yr",0.219463324684886,0.219128186699167,0.239226292393153,0.508221557202374,0.177192962837409,0.252433172342254
"FrenchFries_1yr",0.23180064358974,0.231227780487366,0.209332111600925,0.353965796382445,0.353965796382445,0.231130954752794
"SweetFoodsDrinks_1yr",0.629555760242476,0.631645431153696,0.897956327211273,0.177192962837409,0.508221557202374,0.572610589148461
"PeanutButter_1yr",0.287086681206349,0.288391635941646,0.558652303732067,0.0810267592084133,0.274459043816501,0.918763095302361
"FORMULA_6mo",0.555381568417915,0.558098810959111,0.467658123320374,0.644718978988985,0.187672255032471,0.890205359066802
"WHSTOTHER",0.202336911156397,0.20225002708626,0.703542593671984,0.340890021159912,0.158691279589078,0.341451195344203
"VITAMIND_6mo",0.412925061887307,0.413514289752603,0.437339689921244,0.227330819822198,0.529963949456867,0.750968351915089
"Cereals_6mo",0.410886956033514,0.412921865035749,0.680239652241584,0.55930867233005,0.283495426954277,0.637655562477759
"NegativeLifeEvents",0.353426663544766,0.35358016661552,0.132129440207833,0.433705747646742,0.541956489830664,0.349290023849741
"PositiveLifeEvents",0.207630134255113,0.208874653252871,0.241271329360717,0.259819746369004,0.0203163091816078,0.968142001873999
"TotalLifeEvents",0.471059207613815,0.47304982820685,0.766338837248983,0.49879792955009,0.0494040766806816,0.596030289804201
"STATE",0.915076055184143,0.914029642109835,0.566247640274164,0.894040575647589,0.838539539349136,0.962153569553082
"TRAIT",0.336020940839316,0.334767511580055,0.346643195588344,0.2973338825857,0.42223912229573,0.531264988812179
"Stranger",0.821792587347591,0.8213673612528,0.677838025872507,0.538500825692654,0.403639563518455,0.474861101565693
