ID	unifrac	wunifrac	jsd	rjsd	bray
MA001.NEO	1	1	1	1	1
MA004.NEO	1	2	1	1	1
MA006.NEO	2	1	2	2	2
MA007.NEO	2	2	2	2	2
MA008.NEO	1	2	2	2	2
MA011.NEO	2	1	2	2	2
MA012.NEO	1	2	2	2	2
MA013.NEO	2	2	1	1	1
MA014.NEO	2	2	2	2	2
MA015.NEO	2	1	1	1	1
MA016.NEO	2	1	2	2	2
MA020.NEO	1	1	2	2	2
MA022.NEO	2	2	1	1	1
MA023.NEO	1	1	2	2	2
MA024.NEO	2	1	2	2	2
MA025.NEO	1	1	1	1	1
MA026.NEO	2	1	1	1	1
MA027.NEO	2	2	1	2	2
MA028.NEO	2	1	1	1	1
MA029.NEO	1	1	1	1	1
MA030.NEO	1	2	2	2	2
MA032.NEO	1	2	2	2	2
MA033.NEO	1	2	2	2	2
MA036.NEO	1	1	2	2	2
MA037.NEO	2	2	2	2	2
MA038.NEO	1	1	2	2	2
MA039.NEO	1	1	1	1	1
MA040.NEO	2	2	2	2	2
MA043.NEO	1	1	2	2	2
MA044.NEO	1	1	1	1	1
MA045.NEO	1	1	2	2	2
MA046.NEO	2	2	1	1	1
