"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"chao1",0.944779684591592,0.98690204278003,0.924937746133029,0.418062121529982,0.355773268971213,0.48701663175659
"observed_otus",0.944779684591592,0.98690204278003,0.924937746133029,0.418062121529982,0.355773268971213,0.48701663175659
"PD_whole_tree",0.944779684591592,0.98690204278003,0.924937746133029,0.418062121529982,0.41481882987789,0.509042154309132
"shannon",0.944779684591592,0.98690204278003,0.924937746133029,0.418062121529982,0.355773268971213,0.509042154309132
