"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L1.Cellular.Processes",-4.10937442790094e-08,-4.29047142877826e-08,-1.4391479238504e-08,1.25801164218037e-09
"L1.Environmental.Information.Processing",-1.54316362214802e-08,-1.11511647772978e-08,-2.31771769775565e-09,1.70275127914398e-09
"L1.Genetic.Information.Processing",-7.31864550881611e-09,-6.65170826455528e-09,-2.28773758868321e-09,-5.43308734854241e-11
"L1.Human.Diseases",-9.86888344834019e-08,-1.42423077392227e-07,-7.8416744812934e-08,6.96411295257388e-09
"L1.Metabolism",-2.05266513507375e-09,-2.40472252223263e-09,-9.18417167658878e-10,1.44042434925982e-10
"L1.None",-1.1514561362437e-06,-7.0850237496257e-07,-1.39242500163132e-07,6.6237787277813e-08
"L1.Organismal.Systems",1.44193868145513e-07,-7.93043792154981e-08,-7.81018831614418e-08,-4.03440305596181e-08
"L1.Unclassified",-8.07607029648394e-09,-8.82055881173567e-09,-3.38016998889915e-09,8.95119943528434e-10
