ID	unifrac	wunifrac	jsd	rjsd	bray
MA001.1yr	1	1	1	1	1
MA004.1yr	1	2	1	1	1
MA006.1yr	1	3	2	2	2
MA007.1yr	2	3	1	1	1
MA008.1yr	2	1	2	2	2
MA012.1yr	2	1	1	1	1
MA014.1yr	1	2	3	3	3
MA018.1yr	1	1	3	3	3
MA019.1yr	1	1	1	1	1
MA020.1yr	2	3	2	2	2
MA022.1yr	2	3	2	2	2
MA023.1yr	1	2	1	1	2
MA024.1yr	3	2	1	1	1
MA025.1yr	2	3	1	1	1
MA026.1yr	3	1	1	1	1
MA027.1yr	3	1	2	2	2
MA028.1yr	2	1	3	3	3
MA029.1yr	1	2	1	1	1
MA030.1yr	3	3	1	1	2
MA032.1yr	1	2	1	1	1
MA036.1yr	3	2	2	2	2
