"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",0.017528258522554,0.118978467605571,0.144345992937519,0.174334169624806,0.71801730603518,0.00120486061066316
"wunifrac.PC.2",0.951157741184493,0.948167152641021,0.993170160414647,0.8368313329427,0.71801730603518,0.431575838110889
"wunifrac.PC.3",0.997158497866501,0.948167152641021,0.993170160414647,0.892079918042164,0.904296203762117,0.416576481726437
"wunifrac.PC.4",0.997158497866501,0.948167152641021,0.993170160414647,0.8368313329427,0.742168845095986,0.431575838110889
"unifrac.PC.1",0.997158497866501,0.948167152641021,0.993170160414647,0.892079918042164,0.847547861948206,0.0770046579447494
"unifrac.PC.2",0.997158497866501,0.948167152641021,0.993170160414647,0.892079918042164,0.71801730603518,0.941136439270625
"unifrac.PC.3",0.997158497866501,0.948167152641021,0.993170160414647,0.892079918042164,0.904296203762117,0.976495181538665
"unifrac.PC.4",0.951157741184493,0.948167152641021,0.993170160414647,0.8368313329427,0.904296203762117,0.416576481726437
"chao1",0.997158497866501,0.948167152641021,0.993170160414647,0.8368313329427,0.71801730603518,0.416576481726437
"observed_otus",0.997158497866501,0.948167152641021,0.993170160414647,0.8368313329427,0.742168845095986,0.419290455900645
"PD_whole_tree",0.997158497866501,0.948167152641021,0.993170160414647,0.892079918042164,0.904296203762117,0.431575838110889
"shannon",0.997158497866501,0.948167152641021,0.993170160414647,0.892079918042164,0.847547861948206,0.416576481726437
