"","MaskMaxIntensity_StartleResponse","MaskMaxIntensity_EscapeBehavior","MaskAverageScore_Latency","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear"
"chao1",0.153700351879876,0.174839651079038,0.925453393779532,0.914232903155525,0.696311261815654,0.340750525575956
"observed_otus",0.167772916880768,0.301491034823237,0.926112617892896,0.942591778816562,0.869669809224436,0.41845224258962
"PD_whole_tree",0.484203702392885,0.398630258274407,0.855729965297227,0.809155632125638,0.968141790504505,0.430164647847901
"shannon",0.0899212807699155,0.581138445562028,0.63090002683351,0.662142255374051,0.506875218404159,0.214131945738643
