"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",-0.404602406617735,0.102662118973018,-0.201934973233512,0.173832173525903,0.130267245455483,0.111015647416453
"wunifrac.PC.2",4.81483622848425,-1.68405050864265,-1.26229158804284,-0.419940525242168,-0.270846711025719,-0.384172793942086
"wunifrac.PC.3",14.0162249910466,-4.33168268893051,-3.34671522925308,-2.85692661119946,-0.523424780437961,-1.89211255178114
"wunifrac.PC.4",17.5098049700994,-4.26000002285249,-3.96691929689223,-1.70776755307471,-0.436002634511014,-1.32270868761265
"unifrac.PC.1",-7.64229644937018,1.92616589270865,1.18730062396529,1.79907269018989,0.00974935093920103,1.09484494723149
"unifrac.PC.2",-5.65145550719412,2.18932153817357,1.6285671778648,1.51024817790172,0.118714554308844,-0.0744517862400501
"unifrac.PC.3",0.171349168402224,0.102635235449892,0.722413390128995,0.570237801624252,-0.00894768126652753,0.093007454221043
"unifrac.PC.4",-18.5035449875498,4.63838963973927,5.54768114475655,5.09423286849696,2.7292216224538,1.12757418314857
"chao1",0.0129363134594298,-0.000698800985773076,-0.00525127127275995,-0.00384914229872437,-0.00215415359446936,-0.00247704602899305
"observed_otus",0.0367867107195882,-0.00731111338165515,-0.0150866330305381,-0.0154331439562211,-0.00743136205310671,-0.00349712715511078
"PD_whole_tree",1.06681918456971,-0.220528578260365,-0.399572267514573,-0.342294362243157,-0.122304424866797,-0.184973549635025
"shannon",2.94084607370384,-0.840342337893448,-0.784450743279177,-0.854902460424317,-0.224794125521745,-0.340115897179293
