"","MaskAverageScore_FacialFear","MaskAverageScore_VocalDistress","MaskAverageScore_BodilyFear","MaskAverageScore_StartleResponse","MaskAverageScore_EscapeBehavior"
"MaskAverageScore_FacialFear",1,0.977896625513775,0.868723725331148,0.800529461609208,0.524996292807558
"MaskAverageScore_VocalDistress",0.977896625513775,1,0.879088469214796,0.795201510248849,0.591034918659157
"MaskAverageScore_BodilyFear",0.868723725331148,0.879088469214796,1,0.714336741292959,0.558309953777992
"MaskAverageScore_StartleResponse",0.800529461609208,0.795201510248849,0.714336741292959,1,0.320519839270592
"MaskAverageScore_EscapeBehavior",0.524996292807558,0.591034918659157,0.558309953777992,0.320519839270592,1
