"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",0.00146068821021283,0.00991487230046428,0.0120288327447933,0.0145278474687338,0.0637073820282421,0.000100405050888597
"wunifrac.PC.2",0.237789435296123,0.465204696393013,0.285330186081532,0.407035528267147,0.21091134561002,0.354865180824119
"wunifrac.PC.3",0.978487307968702,0.749699158713461,0.993170160414647,0.85154453650318,0.871777669487224,0.188764717260653
"wunifrac.PC.4",0.868189035072352,0.948167152641021,0.828522479714085,0.392901733477756,0.339708949077016,0.359646531759074
"unifrac.PC.1",0.363276390795392,0.657822071724642,0.494693776971202,0.683419539601017,0.552495571110025,0.0128341096574582
"unifrac.PC.2",0.778114288875972,0.717201494828987,0.954694907644936,0.650062725661902,0.239339102011727,0.86270840266474
"unifrac.PC.3",0.480293283807821,0.401468183978427,0.547819811546891,0.892079918042164,0.862982837639313,0.976495181538665
"unifrac.PC.4",0.158569232838868,0.187959989843814,0.171955263596179,0.194553908383018,0.821150432453733,0.104450770643164
"chao1",0.997158497866501,0.910627194436423,0.696508520477977,0.291322214121298,0.230954842466892,0.156807251346258
"observed_otus",0.856477702666279,0.930335445380778,0.921484648315971,0.41841566647135,0.371084422547993,0.244586099275376
"PD_whole_tree",0.618903458615393,0.690632159721862,0.774605800020968,0.745416296425615,0.904296203762117,0.293647799209037
"shannon",0.742746873000308,0.702792650724605,0.964574723229542,0.695302185244103,0.56503190796547,0.208288240863218
