"","MaskLatencyFearResponse","MaskIntensityFacialFear..0.3.","MaskIntensityVocalDistress..0.3.","MaskIntensityBodilyFear..0.3.","MaskPresenceStartleResponse.0.no.1.yes","MaskIntensityEscapeBehavior..0.3."
"wunifrac.PC.1",6.64896753157185,-1.65129109688653,-1.52508656544235,-1.25629479616592,-0.415030527680124,-0.657257990940858
"wunifrac.PC.2",-8.39700103979518,1.49242241642319,2.01285612522953,1.32675669288749,0.782282376788618,0.591131633042575
"wunifrac.PC.3",-0.374922148804507,1.23000417289673,0.0312222264114905,0.569182212647325,0.19819260632333,1.55037316940735
"wunifrac.PC.4",-1.96271347758626,-0.215373513363799,-0.679360319117338,-2.18463905470379,-0.975564151826386,0.916561536539622
"unifrac.PC.1",-8.69768738089607,1.21037575209761,1.74016818178446,0.878670800433873,0.512804091776664,1.81478715537266
"unifrac.PC.2",-2.69840757811989,0.965098705084009,-0.144171254119345,-0.955969730879193,-0.954648241491869,-0.148508307027409
"unifrac.PC.3",5.68047798512312,-1.87066298400344,-1.29041585992258,-0.24836887825116,-0.127195193636242,-0.0214595618069505
"unifrac.PC.4",13.9166783930268,-3.67412904640215,-3.59186684587542,-2.88599214599322,-0.216583411164613,-1.37197927638905
"chao1",5.38286461243532e-05,0.000473612674777286,0.0015476976944174,0.00337079323606736,0.00152152010757345,-0.00175818472903485
"observed_otus",0.00478014858210383,-0.000646386939611344,0.000690282705873828,0.00462142641713251,0.00204408031053143,-0.00258784716855758
"PD_whole_tree",0.348808128949209,-0.0783061645533442,-0.053538791874484,0.0508298497631657,0.00761605444420104,-0.0633123780354592
"shannon",0.711281706979175,-0.230492359728606,-0.0255631085712092,0.187602122667494,0.11019861391788,-0.22960827871273
